Date,Open,High,Low,Close,Volume
2020-01-01,98.27,99.24,96.36,98.4,4252423
2020-01-02,99.9,101.47,98.84,99.27,1552521
2020-01-03,99.19,100.51,97.78,97.97,2532054
2020-01-04,96.25,96.79,95.81,95.92,2070623
2020-01-05,94.7,96.27,94.58,95.49,1745200
2020-01-06,94.28,94.48,92.52,92.67,1490565
2020-01-07,91.56,92.33,91.09,91.98,3136013
2020-01-08,93.64,93.97,92.33,92.84,3352049
2020-01-09,94.4,96.13,94.32,94.83,2361104
2020-01-10,94.73,96.38,94.67,94.85,2540201
2020-01-11,93.34,94.4,92.54,93.42,3699769
2020-01-12,92.86,94.32,91.35,93.17,1205255
2020-01-13,91.39,91.51,90.66,91.13,1327154
2020-01-14,90.0,90.46,88.89,90.06,1497250
2020-01-15,90.48,90.84,90.03,90.32,2757900
2020-01-16,90.68,92.47,89.25,90.62,1528683
2020-01-17,89.9,91.6,89.47,91.09,4002268
2020-01-18,91.16,91.88,89.65,91.52,1245900
2020-01-19,90.08,91.45,89.72,90.17,3201574
2020-01-20,90.91,92.69,89.56,90.5,4685477
2020-01-21,91.97,93.73,90.73,92.43,1074839
2020-01-22,92.76,93.08,90.95,91.89,2381858
2020-01-23,92.02,93.46,91.98,93.26,3158440
2020-01-24,93.44,93.87,92.03,93.58,3512031
2020-01-25,93.4,93.9,92.1,93.37,3959859
2020-01-26,92.42,94.24,92.29,93.67,3402845
2020-01-27,93.77,94.39,93.22,94.27,1611181
2020-01-28,93.4,95.18,92.04,92.56,2799859
2020-01-29,93.53,94.94,93.09,93.83,4774926
2020-01-30,92.18,93.28,90.97,92.91,2154165
2020-01-31,94.58,96.0,92.69,93.72,1889645
2020-02-01,94.95,96.2,93.59,95.05,4756181
2020-02-02,96.54,96.94,95.43,95.45,4743336
2020-02-03,94.72,96.44,93.98,96.14,4498512
2020-02-04,96.93,97.25,96.83,97.18,1220422
2020-02-05,98.59,100.32,97.62,99.23,3602058
2020-02-06,99.24,100.85,97.94,99.1,3571982
2020-02-07,98.63,98.65,98.61,98.65,4337362
2020-02-08,97.03,98.81,96.16,96.98,2098528
2020-02-09,96.95,97.61,96.15,96.98,2380030
2020-02-10,96.23,96.48,95.55,96.25,2827639
2020-02-11,97.54,98.59,97.33,97.7,4199937
2020-02-12,99.64,101.05,99.26,100.83,1051366
2020-02-13,101.15,101.67,101.0,101.5,1455067
2020-02-14,102.31,102.52,101.45,101.83,1325164
2020-02-15,101.02,102.38,100.72,101.73,4120321
2020-02-16,103.21,105.2,103.03,104.15,3888397
2020-02-17,104.73,105.45,103.39,105.07,3614562
2020-02-18,104.36,104.46,103.52,104.08,1334331
2020-02-19,102.39,103.21,102.02,102.74,4464923
2020-02-20,102.21,102.77,100.64,102.2,1900297
2020-02-21,101.14,101.43,100.32,101.37,2558706
2020-02-22,99.52,101.21,99.45,100.91,1219194
2020-02-23,100.96,101.48,100.5,101.08,4705007
2020-02-24,101.42,102.68,100.37,101.44,4735698
2020-02-25,103.08,103.57,101.78,103.42,1526753
2020-02-26,101.36,101.98,100.81,101.77,2911614
2020-02-27,100.18,102.06,99.32,102.02,4162810
2020-02-28,103.13,104.3,102.93,103.07,4453645
2020-02-29,103.28,103.8,103.13,103.66,2111938
